type,id,gebaseerd_op,merk,model,uitvoering,kleur,bouwjaar,carrosserie,brandstof,transmissie,zitplaatsen,deuren,vermogen_pk,verbruik_l_100km,actieradius_km,bagageruimte_liter,kilometerstand,aantal_vorige_eigenaren,conditie,aanschafprijs,marge_percentage,airconditioning,cruise_control,apple_carplay_android_auto,navigatiesysteem,parkeersensoren_achter,achteruitrijcamera,stoelverwarming,led_koplampen,keyless_entry,lane_assist,parkeersensoren_voor,adaptive_cruise_control,trekhaak,elektrische_achterklep,panoramadak,camera_360_graden,aantal_opties,opties_lijst,lease_24m_10000km,lease_24m_15000km,lease_24m_20000km,lease_24m_25000km,lease_24m_30000km,lease_36m_10000km,lease_36m_15000km,lease_36m_20000km,lease_36m_25000km,lease_36m_30000km,lease_48m_10000km,lease_48m_15000km,lease_48m_20000km,lease_48m_25000km,lease_48m_30000km,lease_60m_10000km,lease_60m_15000km,lease_60m_20000km,lease_60m_25000km,lease_60m_30000km
Nieuw,volkswagen-up!-move-011,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,21490,5,True,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,6,"lane assist, adaptive cruise control, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",395.66,409.76,423.86,437.97,452.07,373.78,387.88,401.98,416.09,430.2,362.85,376.95,391.05,405.15,419.25,356.29,370.39,384.49,398.59,412.69
Nieuw,volkswagen-up!-move-012,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,19240,5,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,4,"achteruitrijcamera, stoelverwarming, airconditioning, cruise control",369.79,382.41,395.04,407.66,420.29,347.91,360.54,373.16,385.79,398.41,336.98,349.6,362.23,374.85,387.48,330.41,343.04,355.67,368.29,380.92
Nieuw,volkswagen-up!-move-013,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,20090,5,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,5,"achteruitrijcamera, led koplampen, airconditioning, cruise control, apple carplay android auto",379.56,392.74,405.93,419.11,432.3,357.68,370.87,384.05,397.24,410.42,346.75,359.93,373.12,386.3,399.48,340.19,353.37,366.56,379.73,392.92
Nieuw,volkswagen-up!-move-014,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,22690,5,True,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,7,"achteruitrijcamera, led koplampen, adaptive cruise control, panoramadak, airconditioning, cruise control, apple carplay android auto",409.46,424.35,439.24,454.12,469.01,387.58,402.47,417.35,432.25,447.14,376.65,391.53,406.42,421.31,436.2,370.08,384.97,399.86,414.75,429.64
Nieuw,volkswagen-up!-move-015,,Volkswagen,up!,Move,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,20590,5,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,5,"stoelverwarming, led koplampen, airconditioning, cruise control, apple carplay android auto",385.31,398.82,412.33,425.85,439.36,363.44,376.95,390.45,403.97,417.48,352.5,366.01,379.52,393.04,406.55,345.93,359.45,372.96,386.47,399.99
Nieuw,volkswagen-up!-move-016,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,22390,5,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,False,8,"navigatiesysteem, stoelverwarming, lane assist, parkeersensoren voor, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",406.0,420.69,435.39,450.08,464.78,384.13,398.82,413.51,428.21,442.9,373.19,387.88,402.58,417.27,431.97,366.63,381.32,396.02,410.71,425.41
Nieuw,volkswagen-up!-move-017,,Volkswagen,up!,Move,Zilver metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,22840,5,True,True,True,True,False,True,False,False,False,True,True,False,False,False,False,True,8,"navigatiesysteem, achteruitrijcamera, lane assist, parkeersensoren voor, camera 360 graden, airconditioning, cruise control, apple carplay android auto",411.18,426.16,441.16,456.14,471.13,389.3,404.29,419.28,434.27,449.25,378.37,393.35,408.34,423.33,438.32,371.81,386.79,401.78,416.77,431.76
Nieuw,volkswagen-up!-move-018,,Volkswagen,up!,Move,Rood metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,23040,5,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,8,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",413.48,428.6,443.72,458.84,473.96,391.6,406.72,421.84,436.96,452.08,380.67,395.79,410.91,426.03,441.15,374.1,389.22,404.34,419.46,434.58
Nieuw,volkswagen-up!-move-019,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,22390,5,True,True,True,True,True,False,True,False,True,False,False,False,False,True,False,False,8,"navigatiesysteem, parkeersensoren achter, stoelverwarming, keyless entry, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",406.0,420.69,435.39,450.08,464.78,384.13,398.82,413.51,428.21,442.9,373.19,387.88,402.58,417.27,431.97,366.63,381.32,396.02,410.71,425.41
Nieuw,volkswagen-up!-move-020,,Volkswagen,up!,Move,Zilver metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,22790,5,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,False,8,"achteruitrijcamera, led koplampen, keyless entry, parkeersensoren voor, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",410.6,425.55,440.52,455.47,470.43,388.73,403.68,418.63,433.6,448.55,377.79,392.74,407.7,422.66,437.62,371.23,386.18,401.14,416.09,431.06
Nieuw,volkswagen-up!-move-021,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,22290,5,True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,7,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, keyless entry, lane assist, airconditioning, apple carplay android auto",404.86,419.49,434.11,448.74,463.37,382.98,397.6,412.23,426.87,441.49,372.05,386.67,401.3,415.93,430.55,365.48,380.11,394.74,409.36,423.99
Nieuw,volkswagen-up!-move-022,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,26190,5,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,12,"navigatiesysteem, parkeersensoren achter, stoelverwarming, keyless entry, lane assist, parkeersensoren voor, adaptive cruise control, trekhaak, panoramadak, airconditioning, cruise control, apple carplay android auto",449.69,466.88,484.07,501.26,518.45,427.82,445.01,462.19,479.38,496.57,416.88,434.07,451.26,468.45,485.64,410.32,427.51,444.7,461.88,479.07
Nieuw,volkswagen-up!-move-023,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,350,0,0,Nieuw,20040,5,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,5,"parkeersensoren achter, led koplampen, airconditioning, cruise control, apple carplay android auto",378.99,392.13,405.29,418.44,431.59,357.11,370.26,383.41,396.56,409.71,346.17,359.32,372.48,385.62,398.78,339.61,352.76,365.91,379.06,392.22
Nieuw,volkswagen-polo-life-001,,Volkswagen,Polo,Life,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,33990,5,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,12,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, lane assist, parkeersensoren voor, trekhaak, panoramadak, airconditioning, cruise control, apple carplay android auto",539.37,561.68,583.99,606.29,628.6,517.5,539.81,562.11,584.42,606.72,506.56,528.86,551.18,573.48,595.79,500.0,522.3,544.61,566.92,589.23
Nieuw,volkswagen-polo-life-002,,Volkswagen,Polo,Life,Zilver metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,29790,5,True,True,False,False,True,False,True,True,False,True,True,False,False,False,False,False,7,"parkeersensoren achter, stoelverwarming, led koplampen, lane assist, parkeersensoren voor, airconditioning, cruise control",491.09,510.64,530.19,549.74,569.29,469.21,488.76,508.31,527.86,547.41,458.27,477.82,497.37,516.93,536.48,451.71,471.26,490.81,510.36,529.91
Nieuw,volkswagen-polo-life-003,,Volkswagen,Polo,Life,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,32590,5,True,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,9,"navigatiesysteem, parkeersensoren achter, led koplampen, keyless entry, lane assist, panoramadak, airconditioning, cruise control, apple carplay android auto",523.28,544.67,566.06,587.44,608.83,501.41,522.79,544.17,565.56,586.95,490.47,511.85,533.24,554.63,576.02,483.9,505.29,526.68,548.07,569.46
Nieuw,volkswagen-polo-life-004,,Volkswagen,Polo,Life,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,32490,5,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, keyless entry, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",522.13,543.45,564.77,586.09,607.41,500.25,521.58,542.89,564.22,585.54,489.32,510.64,531.96,553.28,574.6,482.76,504.07,525.4,546.71,568.04
Nieuw,volkswagen-polo-life-005,,Volkswagen,Polo,Life,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,29290,5,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,7,"parkeersensoren achter, achteruitrijcamera, stoelverwarming, keyless entry, airconditioning, cruise control, apple carplay android auto",485.34,504.56,523.78,543.0,562.22,463.46,482.69,501.9,521.13,540.35,452.53,471.74,490.97,510.18,529.41,445.97,465.18,484.41,503.62,522.85
Nieuw,volkswagen-polo-life-006,,Volkswagen,Polo,Life,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,29490,5,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,6,"navigatiesysteem, achteruitrijcamera, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",487.64,506.99,526.34,545.7,565.05,465.76,485.11,504.46,523.82,543.18,454.83,474.18,493.53,512.88,532.23,448.27,467.62,486.97,506.32,525.67
Nieuw,volkswagen-polo-life-007,,Volkswagen,Polo,Life,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,29940,5,True,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,7,"navigatiesysteem, parkeersensoren achter, stoelverwarming, parkeersensoren voor, trekhaak, airconditioning, apple carplay android auto",492.81,512.46,532.11,551.75,571.4,470.94,490.58,510.23,529.88,549.53,459.99,479.65,499.3,518.94,538.59,453.43,473.09,492.73,512.38,532.02
Nieuw,volkswagen-polo-life-008,,Volkswagen,Polo,Life,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,33290,5,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, lane assist, panoramadak, camera 360 graden, airconditioning, apple carplay android auto",531.33,553.17,575.02,596.86,618.71,509.45,531.3,553.14,574.99,596.84,498.52,520.36,542.21,564.05,585.9,491.96,513.8,535.65,557.49,579.34
Nieuw,volkswagen-polo-life-009,,Volkswagen,Polo,Life,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,30440,5,True,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,7,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, led koplampen, adaptive cruise control, airconditioning, apple carplay android auto",498.56,518.53,538.51,558.48,578.47,476.68,496.66,516.63,536.61,556.58,465.75,485.72,505.7,525.67,545.65,459.19,479.16,499.14,519.11,539.09
Nieuw,volkswagen-polo-life-010,,Volkswagen,Polo,Life,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,31240,5,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, lane assist, parkeersensoren voor, airconditioning, cruise control, apple carplay android auto",507.76,528.25,548.76,569.26,589.76,485.88,506.38,526.88,547.39,567.88,474.95,495.44,515.95,536.45,556.95,468.38,488.88,509.39,529.88,550.39
Nieuw,volkswagen-polo-life-011,,Volkswagen,Polo,Life,Zilver metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,29790,5,True,True,True,False,True,True,True,False,False,True,True,False,False,False,False,False,8,"parkeersensoren achter, achteruitrijcamera, stoelverwarming, lane assist, parkeersensoren voor, airconditioning, cruise control, apple carplay android auto",491.09,510.64,530.19,549.74,569.29,469.21,488.76,508.31,527.86,547.41,458.27,477.82,497.37,516.93,536.48,451.71,471.26,490.81,510.36,529.91
Nieuw,volkswagen-polo-life-012,,Volkswagen,Polo,Life,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,33190,5,True,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, lane assist, adaptive cruise control, panoramadak, airconditioning, cruise control, apple carplay android auto",530.18,551.95,573.74,595.52,617.31,508.31,530.08,551.86,573.65,595.42,497.36,519.14,540.93,562.71,584.49,490.8,512.58,534.37,556.14,577.93
Nieuw,volkswagen-polo-life-013,,Volkswagen,Polo,Life,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,32540,5,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,11,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, led koplampen, lane assist, parkeersensoren voor, adaptive cruise control, trekhaak, airconditioning, cruise control, apple carplay android auto",522.7,544.06,565.41,586.77,608.12,500.83,522.19,543.53,564.89,586.25,489.89,511.25,532.6,553.96,575.31,483.33,504.68,526.04,547.4,568.74
Nieuw,volkswagen-polo-life-014,,Volkswagen,Polo,Life,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,30940,5,True,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,7,"navigatiesysteem, achteruitrijcamera, parkeersensoren voor, panoramadak, airconditioning, cruise control, apple carplay android auto",504.3,524.61,544.92,565.23,585.52,482.43,502.74,523.04,543.34,563.65,471.49,491.8,512.11,532.41,552.71,464.93,485.24,505.54,525.85,546.15
Nieuw,volkswagen-polo-life-015,,Volkswagen,Polo,Life,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,27740,5,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,5,"achteruitrijcamera, keyless entry, airconditioning, cruise control, apple carplay android auto",467.51,485.72,503.93,522.13,540.33,445.64,463.85,482.04,500.25,518.46,434.7,452.91,471.11,489.32,507.52,428.14,446.34,464.55,482.76,500.96
Nieuw,volkswagen-polo-life-016,,Volkswagen,Polo,Life,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,32940,5,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False,11,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, keyless entry, adaptive cruise control, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",527.3,548.92,570.54,592.16,613.77,505.43,527.05,548.66,570.28,591.9,494.49,516.11,537.73,559.35,580.95,487.92,509.54,531.16,552.78,574.39
Nieuw,volkswagen-polo-life-017,,Volkswagen,Polo,Life,Grijs metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,28940,5,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,5,"achteruitrijcamera, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",481.31,500.3,519.3,538.29,557.28,459.44,478.43,497.42,516.41,535.41,448.5,467.49,486.49,505.48,524.46,441.93,460.93,479.92,498.92,517.9
Nieuw,volkswagen-polo-life-018,,Volkswagen,Polo,Life,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,33790,5,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True,False,11,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, lane assist, parkeersensoren voor, adaptive cruise control, trekhaak, panoramadak, airconditioning, cruise control, apple carplay android auto",537.08,559.25,581.43,603.6,625.78,515.2,537.38,559.54,581.72,603.9,504.26,526.44,548.61,570.79,592.97,497.7,519.88,542.05,564.23,586.4
Nieuw,volkswagen-polo-life-019,,Volkswagen,Polo,Life,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,33890,5,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,12,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, led koplampen, keyless entry, lane assist, parkeersensoren voor, adaptive cruise control, camera 360 graden, airconditioning, cruise control, apple carplay android auto",538.23,560.47,582.71,604.95,627.19,516.35,538.59,560.83,583.08,605.31,505.42,527.66,549.9,572.13,594.37,498.86,521.09,543.33,565.57,587.81
Nieuw,volkswagen-polo-life-020,,Volkswagen,Polo,Life,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,31240,5,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,9,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, parkeersensoren voor, airconditioning, cruise control, apple carplay android auto",507.76,528.25,548.76,569.26,589.76,485.88,506.38,526.88,547.39,567.88,474.95,495.44,515.95,536.45,556.95,468.38,488.88,509.39,529.88,550.39
Nieuw,volkswagen-polo-life-021,,Volkswagen,Polo,Life,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,33640,5,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,12,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, lane assist, adaptive cruise control, trekhaak, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",535.35,557.42,579.51,601.58,623.66,513.47,535.55,557.62,579.71,601.78,502.54,524.61,546.69,568.76,590.85,495.98,518.05,540.13,562.2,584.28
Nieuw,volkswagen-polo-life-022,,Volkswagen,Polo,Life,Rood metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,28790,5,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,6,"achteruitrijcamera, stoelverwarming, keyless entry, airconditioning, cruise control, apple carplay android auto",479.59,498.48,517.38,536.27,555.17,457.72,476.61,495.5,514.39,533.28,446.78,465.66,484.56,503.45,522.35,440.21,459.1,478.0,496.89,515.79
Nieuw,volkswagen-polo-life-023,,Volkswagen,Polo,Life,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,30190,5,True,True,True,False,False,True,True,True,False,False,False,True,True,False,False,False,8,"achteruitrijcamera, stoelverwarming, led koplampen, adaptive cruise control, trekhaak, airconditioning, cruise control, apple carplay android auto",495.68,515.5,535.31,555.12,574.94,473.81,493.63,513.43,533.24,553.06,462.87,482.69,502.5,522.31,542.13,456.31,476.12,495.94,515.75,535.56
Nieuw,volkswagen-polo-life-024,,Volkswagen,Polo,Life,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,31540,5,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, keyless entry, parkeersensoren voor, adaptive cruise control, trekhaak, airconditioning, cruise control, apple carplay android auto",511.2,531.91,552.6,573.3,594.0,489.33,510.03,530.72,551.43,572.12,478.39,499.1,519.79,540.49,561.18,471.83,492.53,513.23,533.93,554.62
Nieuw,volkswagen-polo-life-025,,Volkswagen,Polo,Life,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,350,0,0,Nieuw,31890,5,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,8,"navigatiesysteem, stoelverwarming, led koplampen, adaptive cruise control, trekhaak, camera 360 graden, airconditioning, cruise control",515.24,536.16,557.09,578.01,598.94,493.35,514.28,535.21,556.14,577.07,482.42,503.35,524.28,545.2,566.13,475.86,496.79,517.71,538.64,559.57
