type,id,kenteken,gebaseerd_op,merk,model,uitvoering,kleur,bouwjaar,carrosserie,brandstof,transmissie,zitplaatsen,deuren,vermogen_pk,verbruik_l_100km,actieradius_km,co2_uitstoot_g_km,bagageruimte_liter,kilometerstand,aantal_vorige_eigenaren,conditie,aanschafprijs,airconditioning,cruise_control,apple_carplay_android_auto,navigatiesysteem,parkeersensoren_achter,achteruitrijcamera,stoelverwarming,led_koplampen,keyless_entry,lane_assist,parkeersensoren_voor,adaptive_cruise_control,trekhaak,elektrische_achterklep,panoramadak,camera_360_graden,aantal_opties,opties_lijst,afbeelding_pad
Nieuw,volkswagen-up!-move-011,FFX-24-M,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,19740,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,5,"achteruitrijcamera, stoelverwarming, trekhaak, airconditioning, apple carplay android auto",images/volkswagen_up_wit.jpg
Nieuw,volkswagen-up!-move-012,GXC-59-X,,Volkswagen,up!,Move,Zilver metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23590,True,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,9,"navigatiesysteem, stoelverwarming, led koplampen, keyless entry, lane assist, trekhaak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zilver-metallic.jpg
Nieuw,volkswagen-up!-move-013,SBH-56-K,,Volkswagen,up!,Move,Grijs metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,20890,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,6,"parkeersensoren achter, achteruitrijcamera, keyless entry, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_grijs-metallic_herkleurd.jpg
Nieuw,volkswagen-up!-move-014,XNB-14-H,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,22490,True,True,True,True,True,False,True,False,False,True,False,False,False,True,False,False,8,"navigatiesysteem, parkeersensoren achter, stoelverwarming, lane assist, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-015,NNF-48-M,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,20940,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,5,"achteruitrijcamera, led koplampen, keyless entry, airconditioning, cruise control",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-016,HDM-89-N,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21290,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,6,"parkeersensoren achter, stoelverwarming, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-017,FSK-28-T,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23590,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, keyless entry, lane assist, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_wit.jpg
Nieuw,volkswagen-up!-move-018,LWV-34-T,,Volkswagen,up!,Move,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,24440,True,True,True,True,True,True,True,False,True,False,False,True,False,False,True,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, keyless entry, adaptive cruise control, panoramadak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-019,ZRV-05-M,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,24490,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,11,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, keyless entry, lane assist, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_wit.jpg
Nieuw,volkswagen-up!-move-020,ZBD-62-T,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,27240,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,13,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, keyless entry, lane assist, adaptive cruise control, trekhaak, panoramadak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-021,JBG-32-V,,Volkswagen,up!,Move,Grijs metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21540,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,6,"parkeersensoren achter, led koplampen, keyless entry, lane assist, airconditioning, cruise control",images/volkswagen_up_grijs-metallic_herkleurd.jpg
Nieuw,volkswagen-up!-move-022,KFM-91-Z,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21790,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,8,"navigatiesysteem, parkeersensoren achter, stoelverwarming, lane assist, parkeersensoren voor, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_wit.jpg
Nieuw,volkswagen-up!-move-023,SZL-53-D,,Volkswagen,up!,Move,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,20240,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,5,"navigatiesysteem, stoelverwarming, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-024,VTB-14-K,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23190,True,True,True,False,True,True,False,True,False,False,True,True,False,True,False,False,9,"parkeersensoren achter, achteruitrijcamera, led koplampen, parkeersensoren voor, adaptive cruise control, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-025,ZWM-13-M,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,24690,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,11,"navigatiesysteem, parkeersensoren achter, stoelverwarming, keyless entry, lane assist, parkeersensoren voor, adaptive cruise control, trekhaak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-026,DRV-19-C,,Volkswagen,up!,Move,Zilver metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,22590,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,8,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, lane assist, parkeersensoren voor, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zilver-metallic.jpg
Nieuw,volkswagen-up!-move-027,JJL-12-K,,Volkswagen,up!,Move,Grijs metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21040,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,4,"navigatiesysteem, led koplampen, airconditioning, cruise control",images/volkswagen_up_grijs-metallic_herkleurd.jpg
Nieuw,volkswagen-up!-move-028,LGD-02-M,,Volkswagen,up!,Move,Grijs metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,25790,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,12,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, keyless entry, lane assist, parkeersensoren voor, panoramadak, camera 360 graden, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_grijs-metallic_herkleurd.jpg
Nieuw,volkswagen-up!-move-029,ZCH-78-T,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23790,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True,9,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, parkeersensoren voor, adaptive cruise control, camera 360 graden, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-030,RWB-87-S,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21190,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,5,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, airconditioning, cruise control",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-031,FTF-27-M,,Volkswagen,up!,Move,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,19440,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,4,"parkeersensoren achter, lane assist, airconditioning, cruise control",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-032,VGT-87-P,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23940,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,False,8,"navigatiesysteem, parkeersensoren achter, led koplampen, keyless entry, panoramadak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-033,WZN-17-F,,Volkswagen,up!,Move,Rood metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,22490,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,8,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, keyless entry, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-034,MKD-61-F,,Volkswagen,up!,Move,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23490,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,9,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, lane assist, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-035,TLB-74-X,,Volkswagen,up!,Move,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23890,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, lane assist, parkeersensoren voor, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-036,VMK-95-K,,Volkswagen,up!,Move,Grijs metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,19890,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,4,"achteruitrijcamera, parkeersensoren voor, elektrische achterklep, airconditioning",images/volkswagen_up_grijs-metallic_herkleurd.jpg
Nieuw,volkswagen-up!-move-037,WWL-24-V,,Volkswagen,up!,Move,Zilver metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23690,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,True,7,"parkeersensoren achter, led koplampen, adaptive cruise control, panoramadak, camera 360 graden, airconditioning, cruise control",images/volkswagen_up_zilver-metallic.jpg
Nieuw,volkswagen-up!-move-038,PFK-70-X,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,22390,True,True,True,True,True,False,True,False,False,False,True,False,True,False,False,False,8,"navigatiesysteem, parkeersensoren achter, stoelverwarming, parkeersensoren voor, trekhaak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-039,VSL-05-J,,Volkswagen,up!,Move,Rood metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,20740,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,6,"parkeersensoren achter, stoelverwarming, keyless entry, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-040,ZJD-83-Z,,Volkswagen,up!,Move,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23890,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,8,"navigatiesysteem, stoelverwarming, led koplampen, adaptive cruise control, trekhaak, camera 360 graden, airconditioning, cruise control",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-041,DVT-58-Z,,Volkswagen,up!,Move,Zilver metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,22990,True,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,9,"achteruitrijcamera, led koplampen, lane assist, parkeersensoren voor, elektrische achterklep, camera 360 graden, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zilver-metallic.jpg
Nieuw,volkswagen-up!-move-042,ZXN-69-W,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21190,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,6,"achteruitrijcamera, led koplampen, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_wit.jpg
Nieuw,volkswagen-up!-move-043,VDD-11-S,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,25040,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,False,11,"navigatiesysteem, parkeersensoren achter, led koplampen, keyless entry, lane assist, parkeersensoren voor, adaptive cruise control, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-044,LZK-68-X,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,22290,True,True,True,False,False,True,False,True,True,True,True,False,True,False,False,False,9,"achteruitrijcamera, led koplampen, keyless entry, lane assist, parkeersensoren voor, trekhaak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_wit.jpg
Nieuw,volkswagen-up!-move-045,ZDC-22-C,,Volkswagen,up!,Move,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23690,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,True,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, keyless entry, adaptive cruise control, camera 360 graden, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-046,LMN-10-V,,Volkswagen,up!,Move,Wit,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23890,True,True,True,True,False,True,False,True,False,False,False,True,False,False,True,False,8,"navigatiesysteem, achteruitrijcamera, led koplampen, adaptive cruise control, panoramadak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_wit.jpg
Nieuw,volkswagen-up!-move-047,TPD-61-K,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21290,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,6,"achteruitrijcamera, led koplampen, keyless entry, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-048,DHV-79-Z,,Volkswagen,up!,Move,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23990,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, parkeersensoren voor, camera 360 graden, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-049,DWR-79-X,,Volkswagen,up!,Move,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,24640,True,True,True,True,False,True,True,False,False,False,False,True,True,False,True,False,9,"navigatiesysteem, achteruitrijcamera, stoelverwarming, adaptive cruise control, trekhaak, panoramadak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-050,MRS-59-C,,Volkswagen,up!,Move,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,22390,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,8,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-051,GWD-68-P,,Volkswagen,up!,Move,Rood metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,19940,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,"lane assist, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-052,HTC-65-K,,Volkswagen,up!,Move,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23190,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,True,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, keyless entry, trekhaak, camera 360 graden, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-053,VPX-18-F,,Volkswagen,up!,Move,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,24940,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, led koplampen, keyless entry, elektrische achterklep, panoramadak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-054,NGG-04-V,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,20240,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,5,"parkeersensoren achter, elektrische achterklep, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-055,XBW-93-G,,Volkswagen,up!,Move,Grijs metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,24940,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,True,11,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, keyless entry, parkeersensoren voor, adaptive cruise control, trekhaak, camera 360 graden, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_grijs-metallic_herkleurd.jpg
Nieuw,volkswagen-up!-move-056,PKF-95-G,,Volkswagen,up!,Move,Blauw metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,23390,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,8,"navigatiesysteem, parkeersensoren achter, stoelverwarming, led koplampen, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-057,VLC-34-P,,Volkswagen,up!,Move,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21440,True,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,7,"stoelverwarming, led koplampen, parkeersensoren voor, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-058,MTS-27-P,,Volkswagen,up!,Move,Zwart,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,19240,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,4,"trekhaak, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-059,PPR-90-G,,Volkswagen,up!,Move,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,21640,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,6,"navigatiesysteem, stoelverwarming, camera 360 graden, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-up!-move-060,DTH-71-N,,Volkswagen,up!,Move,Bruin metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,65,4.8,,114,350,0,0,Nieuw,24490,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, led koplampen, keyless entry, parkeersensoren voor, adaptive cruise control, airconditioning, cruise control, apple carplay android auto",images/volkswagen_up_zwart.jpg
Nieuw,volkswagen-polo-life-001,DDM-67-W,,Volkswagen,Polo,Life,Rood metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,123,350,0,0,Nieuw,32040,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,9,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, led koplampen, keyless entry, adaptive cruise control, airconditioning, apple carplay android auto",images/volkswagen_polo_rood-metallic.jpg
Nieuw,volkswagen-polo-life-002,NKP-84-D,,Volkswagen,Polo,Life,Groen metallic,2026,Hatchback,Benzine,Handgeschakeld,5,5,95,5.2,,123,350,0,0,Nieuw,32590,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,True,10,"navigatiesysteem, parkeersensoren achter, achteruitrijcamera, stoelverwarming, parkeersensoren voor, panoramadak, camera 360 graden, airconditioning, cruise control, apple carplay android auto",images/volkswagen_polo_groen-metallic_herkleurd.jpg
